country_iso;location_name;incidence_RSV_associated_ALRI;lower_Incidence;upper_Incidence;nrb_episodes ;lower_episodes;uper_episodes;reference
AFG;Afghanistan;64.4;47.5;87.3;363162;267965;492177;
DZA;Algeria;52;38.4;70.5;261334;192830;354175;
AGO;Angola;54.4;40.2;73.8;308582;227692;418207;
ATG;Antigua and Barbuda;47.9;35.3;64.9;239;177;325;
ARG;Argentina;47.5;35.1;64.4;177889;131258;241085;
ARM;Armenia;47;34.7;63.8;9833;7256;13327;
AZE;Azerbaijan;47.4;35;64.2;40172;29642;54444;
BHS;Bahamas, The;49;36.2;66.4;1274;940;1727;
BHR;Bahrain;50.4;37.2;68.2;5488;4050;7438;
BGD;Bangladesh;54.9;40.5;74.3;790928;583600;1071911;
BRB;Barbados;48.9;36.1;66.2;733;541;994;
BLZ;Belize;47.8;35.3;64.8;1912;1411;2591;
BEN;Benin;54.5;40.2;73.9;102169;75387;138465;
BTN;Bhutan;48.5;35.8;65.8;358;2256;4144;
BOL;Bolivia;48.5;35.8;65.7;57480;42412;77900;
BWA;Botswana;77.6;57.2;105.1;21177;15626;28701;
BRA;Brazil;49.2;36.3;66.7;717437;529373;972311;
BRN;Brunei Darussalam;48.4;35.7;65.6;1598;1179;2166;
BFA;Burkina Faso;55.6;41;75.3;189345;139712;256611;
BDI;Burundi;53.5;39.5;72.5;10881;79750;146478;
CPV;Cape Verde;49.6;36.6;67.2;2628;1939;3561;
KHM;Cambodia;49.3;36.4;66.9;87782;64771;118967;
CMR;Cameroon;56.2;41.5;76.2;228151;168345;309203;
CAF;Central African Republic;54.4;40.1;73.7;39829;29388;53978;
TCD;Chad;57;42.1;77.2;163696;120786;221850;
CHL;Chile;47.7;35.2;64.7;56448;41651;76501;
CHN;China;40.3;29.7;54.6;3485198;2571614;4723339;
COL;Colombia;48.7;35.9;66;181578;133981;246085;
COM;Comoros;62.9;46.4;85.2;7736;5708;10485;
COD;Congo, Dem. Rep.;54.6;40.3;74;84658;624279;1146626;
COG;Congo, Rep.;50.4;37.2;68.2;40986;30242;55547;
CRI;Costa Rica;47.6;35.1;64.5;16705;12326;22640;
CIV;Côte d'Ivoire;56.3;41.5;76.3;227991;168227;308986;
CUB;Cuba;46;34;62.4;2712;19932;36609;
DJI;Djibouti;52.5;38.8;71.2;5254;3877;7121;
DOM;Dominican Republic;48.2;35.5;65.3;48488;35778;65714;
ECU;Ecuador;48.9;36.1;66.3;81335;60014;110229;
EGY;Egypt, Arab Rep.;54.6;40.3;74;698967;515745;947280;
SLV;El Salvador;48.1;35.5;65.2;27741;20470;37597;
GNQ;Equatorial Guinea;54.1;39.9;73.4;10554;7787;14303;
ERI;Eritrea;55.7;41.1;75.5;27339;20173;37052;
SWZ;Eswatini;83.4;61.6;113.1;1216;8866;16284;
ETH;Ethiopia;53.1;39.1;71.9;878627;648310;1190765;
FJI;Fiji;49;36.1;66.4;4409;3253;5975;
GAB;Gabon;52.7;38.9;71.5;16668;12299;22589;
GMB;Gambia, The;62.6;46.2;84.8;25155;18561;34091;
GEO;Georgia;47.1;34.7;63.8;12895;9515;17476;
GHA;Ghana;52.2;38.5;70.7;215682;159145;292305;
GRD;Grenada;52.2;38.5;70.8;522;385;708;
GTM;Guatemala;50.9;37.6;69;104737;77282;141946;
GIN;Guinea;57.8;42.6;78.3;118923;87749;161171;
GNB;Guinea-Bissau;56.6;41.8;76.7;16977;12527;23008;
GUY;Guyana;50;36.9;67.8;3751;2768;5083;
HTI;Haiti;50.9;37.6;69;64393;47514;87269;
HND;Honduras;49.7;36.7;67.4;50267;37090;68125;
IND;India;53;39.1;71.8;6186500;4564818;8384297;
IDN;Indonesia;47.3;34.9;64.2;1133410;836307;1536062;
IRN;Iran, Islamic Rep.;49.9;36.8;67.6;378211;279069;512573;
IRQ;Iraq;51.2;37.8;69.3;274993;202908;372686;
JAM;Jamaica;49.8;36.8;67.5;11607;8564;15730;
JOR;Jordan;53.1;39.2;72;57798;42647;78331;
KAZ;Kazakhstan;45.3;33.4;61.4;88192;65074;119523;
KEN;Kenya;52.1;38.5;70.6;365363;269589;495161;
KIR;Kiribati;53.2;39.3;72.1;798;589;1082;
PRK;Korea, Dem. Rep.;46.6;34.4;63.1;81173;59895;110010;
KOR;Korea, Rep.;46.3;34.2;62.7;91147;67254;123528;
KWT;Kuwait;49.9;36.8;67.6;14811;10929;20073;
KGZ;Kyrgyz Republic;47.3;34.9;64.1;36534;26957;49513;
LAO;Lao PDR;53.1;39.2;72;42251;31175;57260;
LBN;Lebanon;49.6;36.6;67.2;29344;21652;39769;
LSO;Lesotho;69;50.9;93.5;17455;12880;23656;
LBR;Liberia;52.6;38.8;71.2;38426;28353;52077;
LBY;Libya;51.9;38.3;70.4;32915;24287;44609;
MDG;Madagascar;57.2;42.2;77.5;229965;169684;311662;
MWI;Malawi;56.3;41.6;76.4;16292;119602;219676;
MYS;Malaysia;48.6;35.8;65.8;127247;93891;172452;
MDV;Maldives;50.9;37.5;68.9;1882;1389;2551;
MLI;Mali;56.8;41.9;76.9;200517;147955;271752;
MRT;Mauritania;54.3;40;73.5;36844;27186;49934;
MUS;Mauritius;54.8;40.4;74.3;3562;2628;4827;
MEX;Mexico;48;35.4;65.1;530334;391316;718739;
FSM;Micronesia, Fed. Sts.;51.2;37.8;69.5;564;416;764;
MNG;Mongolia;47.2;34.8;63.9;17828;13155;24162;
MAR;Morocco;54.6;40.3;74;18464;135815;249455;
MOZ;Mozambique;58.3;43;79;294408;217234;398999;
MMR;Myanmar;48.8;36;66.2;220187;162469;298410;
NAM;Namibia;68.3;50.4;92.5;22801;16824;30902;
NPL;Nepal;50.2;37;68;135920;100291;184207;
NIC;Nicaragua;52.3;38.6;70.9;34618;25543;46916;
NER;Niger;57.2;42.2;77.5;265445;195863;359746;
NGA;Nigeria;53.8;39.7;72.9;1796367;1325481;2434538;
OMN;Oman;49.6;36.6;67.3;22331;16477;30264;
PAK;Pakistan;63.9;47.1;86.6;1767407;1304113;2395;
PAN;Panama;52.2;38.5;70.7;20293;14974;27503;
PNG;Papua New Guinea;51.7;38.2;70.1;56696;41834;76838;
PRY;Paraguay;51.1;37.7;69.2;35701;26343;48384;
PER;Peru;47.8;35.3;64.8;134393;99164;182137;
