ISO3;WBCountryName;Year2008;Year2009;Year2010;Year2011;Year2012;Year2013;Year2014;Year2015;Year2016;Year2017;Year2018;Year2019;Year2020;Imputation_Notes_MA
AFG;Afghanistan;L;L;L;L;L;L;L;L;L;L;L;L;L;
ALB;Albania;LM;UM;UM;LM;UM;UM;UM;UM;UM;UM;UM;UM;UM;
DZA;Algeria;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;LM;LM;
ASM;American Samoa;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;
AND;Andorra;H;H;H;H;H;H;H;H;H;H;H;H;H;
AGO;Angola;LM;LM;LM;UM;UM;UM;UM;UM;LM;LM;LM;LM;LM;
ATG;Antigua and Barbuda;H;UM;UM;UM;H;H;H;H;H;H;H;H;H;
ARG;Argentina;UM;UM;UM;UM;UM;UM;H;UM;UM;H;UM;UM;UM;
ARM;Armenia;LM;LM;LM;LM;LM;LM;LM;LM;LM;UM;UM;UM;UM;
ABW;Aruba;H;H;H;H;H;H;H;H;H;H;H;H;H;
AUS;Australia;H;H;H;H;H;H;H;H;H;H;H;H;H;
AUT;Austria;H;H;H;H;H;H;H;H;H;H;H;H;H;
AZE;Azerbaijan;LM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;
BHS;Bahamas, The;H;H;H;H;H;H;H;H;H;H;H;H;H;
BHR;Bahrain;H;H;H;H;H;H;H;H;H;H;H;H;H;
BGD;Bangladesh;L;L;L;L;L;L;LM;LM;LM;LM;LM;LM;LM;
BRB;Barbados;H;H;H;H;H;H;H;H;H;H;H;H;H;
BLR;Belarus;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;
BEL;Belgium;H;H;H;H;H;H;H;H;H;H;H;H;H;
BLZ;Belize;LM;LM;LM;LM;UM;UM;UM;UM;UM;UM;UM;UM;LM;
BEN;Benin;L;L;L;L;L;L;L;L;L;L;L;LM;LM;
BMU;Bermuda;H;H;H;H;H;H;H;H;H;H;H;H;H;
BTN;Bhutan;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;
BOL;Bolivia;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;
BIH;Bosnia and Herzegovina;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;
BWA;Botswana;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;
BRA;Brazil;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;
VGB;British Virgin Islands;;;;;;;;H;H;H;H;H;H;No imputation because it's not a country we need for RSV project.
BRN;Brunei Darussalam;H;H;H;H;H;H;H;H;H;H;H;H;H;
BGR;Bulgaria;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;
BFA;Burkina Faso;L;L;L;L;L;L;L;L;L;L;L;L;L;
BDI;Burundi;L;L;L;L;L;L;L;L;L;L;L;L;L;
CPV;Cabo Verde;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;
KHM;Cambodia;L;L;L;L;L;L;L;LM;LM;LM;LM;LM;LM;
CMR;Cameroon;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;
CAN;Canada;H;H;H;H;H;H;H;H;H;H;H;H;H;
CYM;Cayman Islands;H;H;H;H;H;H;H;H;H;H;H;H;H;
CAF;Central African Republic;L;L;L;L;L;L;L;L;L;L;L;L;L;
TCD;Chad;L;L;L;L;L;L;L;L;L;L;L;L;L;
CHI;Channel Islands;H;H;H;H;H;H;H;H;H;H;H;H;H;
CHL;Chile;UM;UM;UM;UM;H;H;H;H;H;H;H;H;H;
CHN;China;LM;LM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;
COL;Colombia;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;
COM;Comoros;L;L;L;L;L;L;L;L;L;L;LM;LM;LM;
COD;Congo, Dem. Rep.;L;L;L;L;L;L;L;L;L;L;L;L;L;
COG;Congo, Rep.;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;
CRI;Costa Rica;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;
CIV;Cote dIvoire;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;
HRV;Croatia;H;H;H;H;H;H;H;H;UM;H;H;H;H;
CUB;Cuba;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;
